fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2014-01;36;;18;10;;;18;;17;;
2014-02;41;48;29;17;;;28;;28;;
2014-03;42;46;31;23;;;35;;;;35
2014-04;32;29;20;13;;;23;;20;14;24
2014-05;32;30;22;14;;11;24;;20;14;22
2014-06;23;33;13;9;;9;16;;;13;14
2014-07;;31;10;6;;5;12;;8;10;14
2014-08;24;32;13;;;6;17;;;12;17
2014-09;25;;;;;8;18;;16;14;
2014-10;30;33;;13;;8;27;;;18;21
2014-11;30;;23;15;;11;31;17;;22;23
2014-12;37;34;24;16;;13;30;18;;26;26
